id,statenme,ccode,_merge
688,Serbia,,master only (1)
690,Seychelles,591,matched (3)
694,Sierra Leone,451,matched (3)
702,Singapore,830,matched (3)
534,Sint Maarten (Dutch part),,master only (1)
703,Slovakia,317,matched (3)
705,Slovenia,349,matched (3)
90,Solomon Islands,940,matched (3)
706,Somalia,520,matched (3)
-3,Somaliland,,master only (1)
710,South Africa,560,matched (3)
239,South Georgia and the South Sandwich Islands,,master only (1)
728,South Sudan,626,matched (3)
724,Spain,230,matched (3)
144,Sri Lanka,780,matched (3)
729,Sudan,625,matched (3)
740,Suriname,115,matched (3)
744,Svalbard and Jan Mayen,,master only (1)
748,Swaziland,572,matched (3)
752,Sweden,380,matched (3)
756,Switzerland,225,matched (3)
760,Syria,652,master only (1)
158,Taiwan,713,master only (1)
762,Tajikistan,702,matched (3)
834,Tanzania,510,master only (1)
764,Thailand,800,matched (3)
626,East Timor,860,master only (1)
768,Togo,461,matched (3)
772,Tokelau,,master only (1)
776,Tonga,955,matched (3)
780,Trinidad and Tobago,52,matched (3)
788,Tunisia,616,matched (3)
792,Turkey,640,matched (3)
795,Turkmenistan,701,matched (3)
796,Turks and Caicos Islands,,master only (1)
798,Tuvalu,947,matched (3)
800,Uganda,500,matched (3)
804,Ukraine,369,matched (3)
784,United Arab Emirates,696,matched (3)
826,United Kingdom,200,matched (3)
840,United States of America,2,master only (1)
581,United States Minor Outlying Islands,,master only (1)
858,Uruguay,165,matched (3)
860,Uzbekistan,704,matched (3)
548,Vanuatu,935,matched (3)
862,Venezuela,101,master only (1)
704,Vietnam,816,master only (1)
92,"Virgin Islands, British",,master only (1)
850,"Virgin Islands, U.S.",,master only (1)
876,Wallis and Futuna,,master only (1)
732,Western Sahara,,master only (1)
887,Yemen,679,matched (3)
894,Zambia,551,matched (3)
716,Zimbabwe,552,matched (3)
248,_land Islands,,master only (1)
8,Albania,339,matched (3)
40,Austria,305,matched (3)
56,Belgium,211,matched (3)
192,Cuba,40,matched (3)
208,Denmark,390,matched (3)
214,Dominican Republic,42,matched (3)
818,Egypt,651,matched (3)
233,Estonia,366,matched (3)
231,Ethiopia,530,matched (3)
250,France,220,matched (3)
276,Germany,255,matched (3)
300,Greece,350,matched (3)
332,Haiti,41,matched (3)
392,Japan,740,matched (3)
428,Latvia,367,matched (3)
440,Lithuania,368,matched (3)
442,Luxembourg,212,matched (3)
504,Morocco,600,matched (3)
528,Netherlands,210,matched (3)
578,Norway,385,matched (3)
600,Paraguay,150,matched (3)
616,Poland,290,matched (3)
788,Tunisia,616,matched (3)
,,,
,,,
,Austria-Hungary,300,using only (2)
,Baden,267,using only (2)
,Bavaria,245,using only (2)
,Czechoslovakia,315,using only (2)
,Czechoslovakia,315,using only (2)
,German Democratic Republic,265,using only (2)
,German Federal Republic,260,using only (2)
,Hanover,240,using only (2)
,Hesse Electoral,273,using only (2)
,Hesse Grand Ducal,275,using only (2)
,Korea,730,using only (2)
,Mecklenburg Schwerin,280,using only (2)
,Modena,332,using only (2)
,Papal States,327,using only (2)
,Parma,335,using only (2)
,Republic of Vietnam,817,using only (2)
,Saxony,269,using only (2)
,Tuscany,337,using only (2)
,Two Sicilies,329,using only (2)
,Wuerttemburg,271,
,Zanzibar,511,using only (2)
,Yugoslavia,345,using only (2)
,Yemen Arab Republic,678,using only (2)
,Yemen People's Republic,680,using only (2)
